하차_정류장순번,하차_정류장명,하차_정류장ARS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,All
49,송정동서울숲아이파크,4214.0,,,,,1.0,1.0,1.0,,,1.0,,,,,,1.0,,1.0,1.0,4.0,2.0,4.0,4.0,2.0,2.0,6.0,2.0,9.0,,3.0,3.0,3.0,6.0,,12.0,7.0,9.0,6.0,3.0,10.0,3.0,1.0,11.0,7.0,5.0,3.0,7.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149
50,화양사거리,4207.0,1.0,4.0,2.0,2.0,3.0,4.0,5.0,3.0,1.0,2.0,2.0,2.0,6.0,7.0,9.0,3.0,4.0,5.0,5.0,10.0,6.0,7.0,11.0,14.0,5.0,11.0,14.0,9.0,4.0,17.0,11.0,7.0,21.0,9.0,29.0,36.0,42.0,15.0,21.0,28.0,23.0,11.0,30.0,24.0,15.0,17.0,21.0,29.0,16.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586
51,성수사거리.성수초등학교,4208.0,,,,,,,,,1.0,,1.0,1.0,3.0,,,1.0,,2.0,1.0,,,,3.0,1.0,4.0,7.0,1.0,4.0,2.0,4.0,4.0,2.0,15.0,3.0,10.0,17.0,10.0,3.0,12.0,4.0,7.0,2.0,14.0,9.0,8.0,6.0,7.0,13.0,10.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198
52,서울효사랑병원,4209.0,,,,,,2.0,,,,,,,,1.0,,,,,1.0,,1.0,2.0,1.0,,2.0,3.0,1.0,1.0,,2.0,3.0,2.0,6.0,1.0,3.0,9.0,11.0,5.0,5.0,5.0,4.0,1.0,3.0,6.0,7.0,1.0,8.0,14.0,11.0,10.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134
53,경수중학교,4190.0,,,,,,,,,1.0,,,,1.0,2.0,,,1.0,,,,1.0,,,,2.0,1.0,3.0,,1.0,3.0,2.0,2.0,1.0,5.0,5.0,9.0,7.0,10.0,3.0,5.0,3.0,,10.0,5.0,7.0,3.0,3.0,6.0,9.0,11.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128
54,영동대교북단,4189.0,1.0,,,,,,,,,,2.0,,2.0,,,,3.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,4.0,1.0,6.0,2.0,5.0,7.0,7.0,6.0,13.0,9.0,9.0,3.0,8.0,6.0,3.0,11.0,2.0,7.0,2.0,7.0,15.0,10.0,26.0,5.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206
55,영동교입구,23169.0,,,,,,,,,,,,,1.0,,2.0,,1.0,,1.0,2.0,,,4.0,4.0,,4.0,3.0,1.0,2.0,,2.0,,3.0,3.0,8.0,10.0,6.0,3.0,5.0,3.0,7.0,1.0,12.0,7.0,4.0,4.0,10.0,12.0,17.0,26.0,11.0,10.0,15.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252
56,청담역.경기고교,23170.0,,,,,,,,,,,,,1.0,,,1.0,,,,,2.0,,,1.0,1.0,,4.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,5.0,2.0,3.0,3.0,3.0,2.0,8.0,6.0,6.0,5.0,3.0,10.0,18.0,17.0,4.0,3.0,10.0,30.0,26.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209
57,봉은사.삼성1파출소앞,23189.0,,,,,,,,,2.0,,,,2.0,,,,,1.0,,1.0,2.0,3.0,1.0,,1.0,4.0,1.0,2.0,2.0,2.0,9.0,4.0,5.0,1.0,9.0,15.0,27.0,12.0,6.0,16.0,4.0,2.0,22.0,15.0,5.0,2.0,12.0,22.0,21.0,72.0,32.0,8.0,30.0,99.0,76.0,29.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580
58,무역센터,23198.0,,,,,,,,,,,1.0,1.0,4.0,,2.0,,2.0,1.0,1.0,,2.0,,1.0,4.0,1.0,4.0,2.0,1.0,,5.0,4.0,4.0,6.0,2.0,8.0,8.0,9.0,3.0,5.0,5.0,6.0,5.0,6.0,13.0,2.0,11.0,8.0,15.0,9.0,24.0,9.0,7.0,15.0,18.0,19.0,14.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272
