하차_정류장순번,하차_정류장명,하차_정류장ARS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,All
60,동아.위더스빌아파트,6153.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,4.0,15.0,2.0,3.0,5.0,2.0,6.0,4.0,6.0,,,,,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58
61,청년회의소.서울새활용플라자,4002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,9.0,2.0,2.0,9.0,3.0,1.0,7.0,7.0,11.0,5.0,16.0,48.0,63.0,39.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225
62,장한평역,4003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,8.0,5.0,6.0,6.0,4.0,3.0,7.0,3.0,3.0,1.0,2.0,18.0,32.0,13.0,9.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,136
63,군자교남단,4216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,5.0,6.0,1.0,3.0,1.0,6.0,3.0,4.0,4.0,3.0,,2.0,14.0,15.0,15.0,33.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,178
64,송정동건영아파트,4215.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,6.0,4.0,6.0,2.0,6.0,3.0,6.0,2.0,1.0,,3.0,10.0,10.0,5.0,32.0,80.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,184
65,송정동서울숲아이파크,4214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,11.0,1.0,3.0,1.0,1.0,3.0,4.0,2.0,1.0,,8.0,18.0,14.0,4.0,37.0,56.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,176
66,서울화양동우체국,5259.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,9.0,2.0,6.0,4.0,3.0,7.0,7.0,10.0,1.0,1.0,7.0,16.0,11.0,14.0,30.0,35.0,3.0,12.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,191
67,광진광장,5226.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,5.0,,,,,,,4.0,3.0,5.0,5.0,7.0,6.0,10.0,10.0,16.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,81
68,어린이대공원역.화양천주교회,5227.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,1.0,1.0,5.0,2.0,,1.0,3.0,,2.0,8.0,11.0,1.0,3.0,6.0,2.0,23.0,39.0,15.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,134
69,한아름공원,5228.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,6.0,1.0,2.0,1.0,1.0,3.0,,2.0,5.0,6.0,3.0,3.0,5.0,2.0,16.0,13.0,7.0,8.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,91
70,건대병원입구,5263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,6.0,9.0,4.0,3.0,6.0,5.0,6.0,5.0,4.0,9.0,8.0,18.0,12.0,17.0,14.0,27.0,34.0,14.0,22.0,11.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,250
71,건국대학교앞,5205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,6.0,,2.0,2.0,,1.0,,2.0,1.0,1.0,2.0,3.0,5.0,4.0,14.0,12.0,15.0,22.0,25.0,18.0,15.0,18.0,4.0,18.0,6.0,,,,,,,,,,,,,,,,,,,198
72,자양초등학교앞,5179.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,1.0,,,,,2.0,4.0,1.0,2.0,5.0,7.0,5.0,15.0,5.0,6.0,15.0,15.0,3.0,15.0,14.0,2.0,,,,,,,,,,,,,,,,,,120
73,자양사거리,5177.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,1.0,,1.0,,1.0,,2.0,1.0,2.0,1.0,2.0,2.0,2.0,9.0,7.0,6.0,7.0,6.0,2.0,19.0,47.0,5.0,2.0,,,,,,,,,,,,,,,,,128
74,광진구청,5148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,3.0,,2.0,,,1.0,11.0,8.0,12.0,19.0,14.0,5.0,71.0,95.0,11.0,11.0,7.0,,,,,,,,,,,,,,,,272
75,광진경찰서,5147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,1.0,,,1.0,7.0,7.0,4.0,11.0,2.0,3.0,52.0,68.0,7.0,17.0,8.0,3.0,,,,,,,,,,,,,,,195
76,래미안구의파크스위트,5150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,,2.0,29.0,70.0,13.0,13.0,30.0,20.0,1.0,,,,,,,,,,,,,,197
77,올림픽대교북단사거리,5164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,2.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,2.0,,2.0,1.0,1.0,1.0,1.0,19.0,23.0,1.0,6.0,24.0,51.0,12.0,1.0,,,,,,,,,,,,,158
78,풍납동극동.쌍용아파트,24232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,2.0,,2.0,3.0,2.0,1.0,,,1.0,1.0,,,1.0,1.0,1.0,,3.0,7.0,6.0,8.0,2.0,23.0,31.0,9.0,17.0,31.0,47.0,70.0,30.0,1.0,,,,,,,,,,,,304
79,강동구청역농협중앙회,25313.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,2.0,,,3.0,2.0,1.0,2.0,4.0,2.0,4.0,9.0,6.0,2.0,6.0,7.0,10.0,18.0,13.0,1.0,,,,,,,,,,,,94
80,강동구청,25282.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,1.0,1.0,,1.0,2.0,1.0,,7.0,4.0,3.0,2.0,18.0,12.0,2.0,4.0,11.0,9.0,9.0,7.0,6.0,3.0,14.0,,,,,,,,,,119
81,강동보건소건너,25284.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,2.0,3.0,10.0,9.0,4.0,3.0,9.0,9.0,8.0,7.0,8.0,5.0,40.0,,,,,,,,,,123
82,한양수자인아파트,25286.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,2.0,,,,,,,,2.0,,3.0,1.0,13.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,16.0,7.0,65.0,1.0,,,,,,,,,143
83,JYP엔터테인먼트.윤선생영어교실,25230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,2.0,4.0,3.0,10.0,11.0,4.0,4.0,6.0,3.0,13.0,15.0,18.0,9.0,65.0,6.0,2.0,1.0,,,,,,,184
