하차_정류장순번,하차_정류장명,하차_정류장ARS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,All
33,못골마을.강남자곡아이파크,23463.0,,,,,,,,,,,1.0,,1.0,,,,,4.0,4.0,3.0,,44.0,15.0,22.0,16.0,4.0,2.0,3.0,247.0,3.0,1.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378
34,래미안강남힐즈,23471.0,,,,,,2.0,,,,,,2.0,1.0,2.0,4.0,1.0,,,2.0,,6.0,76.0,17.0,11.0,26.0,4.0,7.0,7.0,317.0,3.0,1.0,21.0,11.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522
35,세곡중학교.세명초등학교,23447.0,1.0,,1.0,,,2.0,,1.0,,1.0,,3.0,,2.0,3.0,1.0,1.0,4.0,,5.0,3.0,60.0,14.0,14.0,20.0,4.0,2.0,9.0,233.0,6.0,,13.0,12.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425
36,세곡푸르지오,23480.0,,,,,,,,,1.0,,1.0,2.0,3.0,1.0,2.0,,,2.0,3.0,3.0,,27.0,9.0,9.0,7.0,,2.0,2.0,66.0,1.0,1.0,,10.0,11.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170
37,강남신동아파밀리에1단지,23413.0,,,,,,,,,,2.0,,,,,,,,2.0,,1.0,,17.0,4.0,3.0,5.0,2.0,2.0,2.0,25.0,,,2.0,8.0,17.0,37.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133
38,은곡마을.강남신동아파밀리에,23537.0,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,11.0,2.0,2.0,4.0,,,,10.0,,,,5.0,6.0,20.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73
39,대왕초등학교,23454.0,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,2.0,2.0,,,,,,1.0,,,,3.0,3.0,9.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27
40,은곡마을.LH이편한세상,23412.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
41,은곡마을진입로,23434.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
42,강남효성해링턴코트,23482.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,6.0,9.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
43,세곡중학교.세명초등학교,23448.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,28.0,9.0,36.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82
44,래미안강남힐즈,23446.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,8.0,9.0,5.0,6.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36
45,못골마을,23464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,7.0,,8.0,9.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
