하차_정류장순번,하차_정류장명,하차_정류장ARS,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,105,106,107,All
63,자양초등학교앞,5178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,9.0,18.0,34.0,29.0,17.0,25.0,19.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154
64,건국대학교앞,5180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,18.0,32.0,45.0,58.0,36.0,27.0,30.0,8.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260
65,건대입구역사거리.건대병원,5232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,15.0,43.0,78.0,92.0,58.0,41.0,92.0,59.0,28.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518
66,어린이대공원역.화양천주교회,5234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,22.0,21.0,11.0,17.0,24.0,12.0,24.0,34.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172
67,어린이대공원앞,5140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,8.0,8.0,18.0,17.0,13.0,11.0,33.0,28.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146
68,능동사거리.군자역,5141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,6.0,21.0,17.0,10.0,7.0,23.0,35.0,8.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142
69,중곡2동주민센터앞,5113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,3.0,7.0,10.0,11.0,1.0,3.0,15.0,39.0,5.0,6.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113
70,중곡동성당앞,5114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,6.0,7.0,1.0,4.0,3.0,8.0,38.0,6.0,4.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
71,종합의료복합단지,5115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,2.0,1.0,4.0,,3.0,12.0,2.0,1.0,5.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
72,중곡역.국립정신건강센터,5133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,2.0,,1.0,,1.0,10.0,2.0,2.0,5.0,5.0,7.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
73,용곡삼거리,5132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,3.0,2.0,1.0,1.0,2.0,,5.0,13.0,3.0,2.0,10.0,14.0,12.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90
74,용마산하늘채아파트,7210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,4.0,1.0,2.0,1.0,27.0,1.0,3.0,3.0,5.0,8.0,3.0,13.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86
75,용마산역,7208.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,2.0,1.0,,,2.0,18.0,2.0,4.0,3.0,3.0,11.0,1.0,6.0,10.0,9.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81
76,용마폭포공원,7206.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,4.0,3.0,2.0,1.0,2.0,25.0,6.0,3.0,6.0,6.0,8.0,4.0,19.0,9.0,4.0,19.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124
77,면목동금호어울림아파트,7204.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,2.0,1.0,1.0,4.0,23.0,4.0,,5.0,5.0,3.0,3.0,5.0,7.0,4.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82
78,용마산교차로,7250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,4.0,,,3.0,25.0,6.0,5.0,1.0,8.0,9.0,6.0,5.0,8.0,8.0,15.0,5.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117
