하차_정류장순번,하차_정류장명,하차_정류장ARS,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,All
70,미아사거리역,9012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,4,2,21,12,23,32,49,24,31,7,34,23,31,40,57,40,55,13,37,88,27,24,23,56,72,92,96,38,,,,,,,,,,,,,,,,1057
71,도봉세무서.성북시장,9010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,2,4,6,7,6,5,2,7,9,11,14,9,14,11,3,12,26,,10,9,24,15,19,20,73,10,,,,,,,,,,,,,,,336
72,미아역.신일중고,9008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,2,4,3,1,9,22,4,5,4,10,5,19,12,12,12,21,5,18,27,4,6,12,23,26,24,18,64,20,9,,,,,,,,,,,,,,404
73,수유시장.성신여대미아캠퍼스앞,9006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,2,5,8,11,6,7,8,18,3,17,6,9,15,23,16,15,7,13,26,3,5,10,17,16,17,20,76,20,29,21,,,,,,,,,,,,,452
74,수유역.강북구청,9004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,3,7,9,9,14,14,21,14,19,3,26,13,13,17,30,22,18,12,14,57,11,10,11,46,36,30,36,62,38,58,63,16,,,,,,,,,,,,754
75,수유3동우체국,9002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,1,,1,2,3,1,7,1,8,2,1,8,12,3,3,3,6,9,5,1,1,16,5,9,5,20,4,13,16,49,3,,,,,,,,,,,221
76,우이1교앞,10018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,3,1,4,7,11,4,4,,2,2,1,6,10,8,9,3,9,14,5,1,5,13,7,10,10,28,11,12,15,57,17,10,,,,,,,,,,302
77,쌍문역,10016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,,3,3,9,1,6,1,10,5,3,4,8,7,3,3,12,8,3,1,2,11,8,5,4,18,6,6,20,64,22,13,70,,,,,,,,,346
78,도봉구민회관.도봉문화원,10014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,2,8,4,7,1,2,3,2,4,8,6,9,1,3,5,1,2,1,17,8,7,8,13,3,8,23,52,13,6,107,1,,,,,,,,338
79,도봉보건소.북한산아이파크아파트,10012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,2,4,5,2,1,1,1,4,3,3,3,6,1,3,3,2,1,1,8,5,5,7,14,4,11,13,48,12,10,150,5,3,,,,,,,348
80,방학사거리,10196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,,1,1,1,4,1,,3,,,4,4,3,7,,1,7,1,,2,5,6,6,7,38,12,13,37,61,30,19,294,31,34,1,,,,,,640
81,신한은행방학동지점,10194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,3,4,1,2,2,,2,,1,,6,1,2,1,5,5,,2,3,5,2,4,7,44,11,11,30,60,20,6,176,14,24,10,1,,,,,470
82,국민은행방학지점,10192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,3,2,2,2,1,,1,1,1,,3,2,6,1,9,8,1,1,2,3,2,1,1,51,9,19,16,83,15,14,176,19,43,31,4,3,,,,538
83,방학동신동아아파트,10190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,1,,,1,,,,2,1,5,2,3,8,1,1,3,1,1,4,4,17,1,8,15,39,6,7,124,17,29,19,5,2,,,,332
84,방학동신동아타워,10187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,1,4,,,,,,,2,1,2,3,1,7,1,,2,1,,2,3,2,14,2,9,7,30,3,3,42,14,12,23,8,1,4,,,208
85,연산군정의공주묘,10185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,1,,1,,,,2,,,1,1,1,,,8,1,3,3,13,1,,33,1,8,13,13,12,4,,1,124
86,한국사회봉사회,10343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,1,,,1,,,,,,,2,,,,,,,,,2,,2,,3,,,9,,2,11,2,8,5,5,1,56
87,우이동차고지종점,9294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,,,,,,,,,,1,1,1,12,2,5,7,10,2,4,21,5,8,12,7,11,14,10,9,145
All,,,316,10,51,239,429,728,592,641,372,176,565,364,390,293,338,579,226,535,364,271,893,346,458,342,354,260,283,531,447,297,79,367,230,278,233,383,170,527,247,291,430,238,101,225,387,609,330,521,444,679,613,777,140,433,306,366,395,528,406,569,140,305,443,106,112,346,321,258,274,290,592,154,216,286,585,144,93,1204,107,165,121,40,37,27,15,11,29384
